Date,Open,High,Low,Close,Adj Close,Volume
2017-02-16,838.500000,842.690002,837.260010,842.169983,842.169983,1005100
2017-02-17,841.309998,846.940002,839.780029,846.549988,846.549988,1461200
2017-02-21,847.989990,852.200012,846.549988,849.270020,849.270020,1260300
2017-02-22,848.000000,853.789978,846.710022,851.359985,851.359985,1224400
2017-02-23,851.080017,852.619995,842.500000,851.000000,851.000000,1386700
2017-02-24,847.650024,848.359985,842.960022,847.809998,847.809998,1346200
2017-02-27,844.950012,850.669983,843.010010,849.669983,849.669983,1010300
2017-02-28,847.349976,848.830017,841.440002,844.929993,844.929993,1383100
2017-03-01,851.380005,858.000000,849.020020,856.750000,856.750000,1818700
2017-03-02,856.309998,856.489990,848.719971,849.849976,849.849976,1250900
2017-03-03,848.940002,850.820007,844.710022,849.080017,849.080017,1005000
2017-03-06,846.859985,848.940002,841.169983,847.270020,847.270020,1047900
2017-03-07,847.260010,853.330017,845.520020,851.150024,851.150024,1038700
2017-03-08,853.119995,856.929993,851.250000,853.640015,853.640015,1028800
2017-03-09,853.690002,860.710022,852.669983,857.840027,857.840027,1347700
2017-03-10,862.700012,864.229980,857.609985,861.409973,861.409973,1336600
2017-03-13,860.830017,867.130005,860.820007,864.580017,864.580017,1166600
2017-03-14,863.750000,867.580017,860.130005,865.909973,865.909973,1061700
2017-03-15,867.940002,869.880005,861.299988,868.390015,868.390015,1332900
2017-03-16,870.530029,872.710022,867.520020,870.000000,870.000000,1104500
2017-03-17,873.679993,874.419983,868.369995,872.369995,872.369995,1868300
2017-03-20,869.479980,870.340027,864.669983,867.909973,867.909973,1542200
2017-03-21,870.059998,873.469971,847.690002,850.140015,850.140015,2538000
2017-03-22,849.479980,855.349976,847.000000,849.799988,849.799988,1366700
2017-03-23,841.390015,841.690002,833.000000,839.650024,839.650024,3287700
2017-03-24,842.000000,844.000000,829.099976,835.140015,835.140015,2105700
2017-03-27,828.090027,841.380005,824.299988,838.510010,838.510010,1934600
2017-03-28,839.690002,845.400024,832.270020,840.630005,840.630005,1519200
2017-03-29,842.750000,851.590027,841.380005,849.869995,849.869995,1457300
2017-03-30,851.979980,852.000000,846.770020,849.479980,849.479980,949400
2017-03-31,846.830017,849.559998,845.239990,847.799988,847.799988,1441000
2017-04-03,848.750000,859.000000,847.530029,856.750000,856.750000,1969400
2017-04-04,848.000000,853.000000,847.510010,852.570007,852.570007,1348500
2017-04-05,854.710022,860.590027,847.520020,848.909973,848.909973,1855200
2017-04-06,849.500000,853.590027,844.000000,845.099976,845.099976,1533600
2017-04-07,845.000000,845.880005,837.299988,842.099976,842.099976,1111600
2017-04-10,841.539978,846.739990,840.789978,841.700012,841.700012,1046200
2017-04-11,841.700012,844.630005,834.599976,839.880005,839.880005,974300
2017-04-12,838.460022,843.719971,837.590027,841.460022,841.460022,1135800
2017-04-13,841.039978,843.729980,837.849976,840.179993,840.179993,1073700
2017-04-17,841.380005,855.640015,841.030029,855.130005,855.130005,1049100
2017-04-18,852.539978,857.390015,851.250000,853.989990,853.989990,936200
2017-04-19,857.390015,860.200012,853.530029,856.510010,856.510010,1080300
2017-04-20,859.739990,863.929993,857.500000,860.080017,860.080017,1188800
2017-04-21,860.619995,862.440002,857.729980,858.950012,858.950012,1172900
2017-04-24,868.440002,879.960022,866.109985,878.929993,878.929993,1696500
2017-04-25,882.260010,892.250000,879.280029,888.840027,888.840027,2038000
2017-04-26,891.390015,892.989990,885.150024,889.140015,889.140015,1323300
2017-04-27,890.000000,893.380005,887.179993,891.440002,891.440002,2342300
2017-04-28,929.000000,935.900024,923.219971,924.520020,924.520020,3797800
2017-05-01,924.150024,935.820007,920.799988,932.820007,932.820007,2327800
2017-05-02,933.270020,942.989990,931.000000,937.090027,937.090027,1751300
2017-05-03,936.049988,950.200012,935.210022,948.450012,948.450012,1824800
2017-05-04,950.289978,959.140015,947.369995,954.719971,954.719971,1937600
2017-05-05,956.719971,958.440002,948.099976,950.280029,950.280029,1615500
2017-05-08,947.450012,960.989990,947.400024,958.690002,958.690002,1876700
2017-05-09,961.330017,962.200012,954.400024,956.710022,956.710022,1687900
2017-05-10,956.219971,956.710022,949.840027,954.840027,954.840027,1146000
2017-05-11,951.289978,957.989990,948.609985,955.890015,955.890015,1031100
2017-05-12,957.849976,957.979980,952.059998,955.140015,955.140015,1214900
2017-05-15,955.289978,962.700012,952.820007,959.219971,959.219971,1337700
2017-05-16,963.549988,965.900024,960.349976,964.609985,964.609985,1101500
2017-05-17,959.700012,960.989990,940.059998,942.169983,942.169983,2449100
2017-05-18,943.200012,954.179993,941.270020,950.500000,950.500000,1800500
2017-05-19,952.820007,959.559998,952.000000,954.650024,954.650024,1360300
2017-05-22,957.000000,964.820007,956.559998,964.070007,964.070007,1387400
2017-05-23,969.960022,974.510010,964.500000,970.549988,970.549988,1545400
2017-05-24,975.260010,978.119995,971.630005,977.609985,977.609985,1133000
2017-05-25,979.000000,995.780029,977.820007,991.859985,991.859985,1954100
2017-05-26,992.000000,996.390015,987.359985,993.270020,993.270020,1636400
2017-05-30,992.500000,997.619995,991.359985,996.169983,996.169983,1516200
2017-05-31,996.210022,999.599976,981.679993,987.090027,987.090027,1724100
2017-06-01,990.960022,993.140015,981.289978,988.289978,988.289978,1306400
2017-06-02,988.590027,996.479980,987.070007,996.119995,996.119995,1735500
2017-06-05,997.890015,1007.400024,995.450012,1003.880005,1003.880005,1378900
2017-06-06,1003.309998,1008.609985,994.799988,996.679993,996.679993,1552100
2017-06-07,999.090027,1003.909973,995.869995,1001.500000,1001.500000,1374100
2017-06-08,1004.229980,1005.599976,996.619995,1004.280029,1004.280029,1679900
2017-06-09,1005.489990,1005.500000,953.369995,970.119995,970.119995,3647900
2017-06-12,958.719971,968.000000,936.799988,961.809998,961.809998,4202100
2017-06-13,972.039978,977.909973,962.010010,970.500000,970.500000,2005400
2017-06-14,975.500000,979.700012,959.510010,967.929993,967.929993,1505500
2017-06-15,948.020020,960.679993,940.369995,960.179993,960.179993,2427600
2017-06-16,957.909973,959.950012,948.700012,958.619995,958.619995,2559200
2017-06-19,969.650024,979.299988,968.200012,975.219971,975.219971,1468800
2017-06-20,975.309998,980.789978,968.200012,968.989990,968.989990,1297300
2017-06-21,970.789978,979.549988,969.450012,978.590027,978.590027,1161600
2017-06-22,976.869995,980.500000,973.309998,976.619995,976.619995,1009500
2017-06-23,975.500000,986.619995,974.460022,986.090027,986.090027,1564000
2017-06-26,990.000000,993.989990,970.330017,972.090027,972.090027,1517900
2017-06-27,961.599976,967.219971,947.090027,948.090027,948.090027,2443600
2017-06-28,950.659973,963.239990,936.159973,961.010010,961.010010,2745600
2017-06-29,951.349976,951.659973,929.599976,937.820007,937.820007,3206700
2017-06-30,943.989990,945.000000,929.609985,929.679993,929.679993,2287700
2017-07-03,933.219971,934.239990,915.309998,919.460022,919.460022,1694800
2017-07-05,924.200012,936.289978,918.630005,932.260010,932.260010,2094100
2017-07-06,925.000000,936.140015,919.849976,927.690002,927.690002,2014900
2017-07-07,930.989990,944.659973,929.789978,940.809998,940.809998,1663300
2017-07-10,941.950012,953.130005,941.950012,951.000000,951.000000,1451500
2017-07-11,950.520020,954.890015,945.119995,953.530029,953.530029,1461200
2017-07-12,960.859985,969.630005,957.039978,967.659973,967.659973,1602100
2017-07-13,970.799988,978.700012,964.799988,968.849976,968.849976,1524600
2017-07-14,974.000000,977.539978,970.150024,976.909973,976.909973,1079600
2017-07-17,976.320007,983.349976,970.799988,975.960022,975.960022,1660500
2017-07-18,973.359985,990.849976,972.039978,986.950012,986.950012,1413300
2017-07-19,990.010010,995.599976,987.010010,992.770020,992.770020,1412100
2017-07-20,997.000000,998.679993,984.619995,992.190002,992.190002,1418400
2017-07-21,989.000000,995.109985,984.169983,993.840027,993.840027,1463300
2017-07-24,994.099976,1006.190002,990.270020,998.309998,998.309998,3984500
2017-07-25,970.700012,976.729980,963.799988,969.030029,969.030029,5933600
2017-07-26,972.780029,973.950012,960.229980,965.309998,965.309998,2221600
2017-07-27,969.179993,969.520020,937.059998,952.510010,952.510010,3717900
2017-07-28,947.989990,961.789978,945.309998,958.330017,958.330017,1813800
2017-07-31,960.000000,961.190002,941.729980,945.500000,945.500000,2283500
2017-08-01,947.809998,954.489990,944.960022,946.559998,946.559998,1402600
2017-08-02,948.369995,949.099976,932.520020,947.640015,947.640015,2039400
2017-08-03,949.099976,950.000000,939.440002,940.299988,940.299988,1123900
2017-08-04,943.950012,947.539978,939.799988,945.789978,945.789978,1254600
2017-08-07,947.520020,948.960022,943.500000,945.750000,945.750000,1445800
2017-08-08,944.289978,952.489990,942.479980,944.190002,944.190002,1505100
2017-08-09,938.450012,943.760010,933.919983,940.080017,940.080017,1400900
2017-08-10,935.000000,936.299988,921.780029,923.590027,923.590027,2707400
2017-08-11,923.710022,933.359985,921.219971,930.090027,930.090027,1616700
2017-08-14,939.070007,941.039978,934.489990,938.929993,938.929993,1148500
2017-08-15,941.030029,943.070007,936.640015,938.080017,938.080017,1106500
2017-08-16,941.250000,949.900024,940.039978,944.270020,944.270020,1345300
2017-08-17,942.950012,943.809998,927.640015,927.659973,927.659973,1695700
2017-08-18,926.979980,931.020020,923.450012,926.179993,926.179993,1337400
2017-08-21,925.770020,928.250000,918.599976,920.869995,920.869995,1301200
2017-08-22,926.960022,941.960022,926.169983,940.400024,940.400024,1775100
2017-08-23,937.000000,945.429993,935.239990,942.580017,942.580017,1134500
2017-08-24,943.710022,946.309998,930.739990,936.890015,936.890015,1294600
2017-08-25,939.210022,940.729980,930.099976,930.500000,930.500000,1187300
2017-08-28,931.880005,934.849976,926.109985,928.130005,928.130005,1049400
2017-08-29,919.950012,938.190002,919.309998,935.750000,935.750000,1158600
2017-08-30,935.669983,945.859985,934.049988,943.630005,943.630005,1120300
2017-08-31,946.299988,957.200012,946.250000,955.239990,955.239990,1693300
2017-09-01,957.469971,958.330017,950.280029,951.989990,951.989990,1042900
2017-09-05,946.859985,951.390015,935.599976,941.479980,941.479980,1457400
2017-09-06,943.869995,944.500000,932.679993,942.020020,942.020020,1391500
2017-09-07,944.250000,950.500000,937.530029,949.890015,949.890015,1116600
2017-09-08,949.700012,950.700012,940.010010,941.409973,941.409973,999900
2017-09-11,947.200012,952.679993,941.000000,943.289978,943.289978,1337400
2017-09-12,946.919983,948.090027,937.500000,946.650024,946.650024,1284800
2017-09-13,945.500000,952.849976,944.739990,950.440002,950.440002,1095400
2017-09-14,946.000000,948.030029,938.359985,940.130005,940.130005,1427400
2017-09-15,940.090027,941.750000,931.250000,935.289978,935.289978,1994300
2017-09-18,935.010010,936.859985,925.400024,929.750000,929.750000,1473700
2017-09-19,933.409973,937.940002,926.659973,936.859985,936.859985,1242700
2017-09-20,937.729980,950.000000,937.500000,947.539978,947.539978,2004000
2017-09-21,948.130005,952.799988,939.380005,947.549988,947.549988,1370700
2017-09-22,942.770020,950.000000,940.840027,943.260010,943.260010,1074800
2017-09-25,939.450012,939.750000,924.510010,934.280029,934.280029,1873400
2017-09-26,936.690002,944.080017,935.119995,937.429993,937.429993,1672700
2017-09-27,942.739990,965.429993,941.950012,959.900024,959.900024,2334600
2017-09-28,956.250000,966.179993,955.549988,964.809998,964.809998,1400900
2017-09-29,966.000000,975.809998,966.000000,973.719971,973.719971,2031100
2017-10-02,975.650024,977.739990,961.950012,967.469971,967.469971,1539100
2017-10-03,967.559998,972.440002,962.710022,972.080017,972.080017,1083300
2017-10-04,971.760010,974.400024,965.609985,966.780029,966.780029,1057800
2017-10-05,972.789978,986.510010,970.270020,985.190002,985.190002,1780900
2017-10-06,980.000000,994.260010,978.510010,993.640015,993.640015,1553000
2017-10-09,995.000000,1000.460022,991.500000,992.309998,992.309998,1295500
2017-10-10,995.299988,997.469971,981.109985,987.799988,987.799988,1163400
2017-10-11,989.039978,1007.570007,987.940002,1005.650024,1005.650024,1815000
2017-10-12,1003.840027,1011.539978,1001.099976,1005.650024,1005.650024,1530700
2017-10-13,1009.109985,1014.760010,1007.059998,1007.869995,1007.869995,1327600
2017-10-16,1009.630005,1012.000000,1001.520020,1009.349976,1009.349976,1071000
2017-10-17,1007.440002,1014.559998,1006.049988,1011.000000,1011.000000,1013000
2017-10-18,1011.049988,1016.309998,1005.320007,1012.739990,1012.739990,1279800
2017-10-19,1004.750000,1007.320007,997.299988,1001.840027,1001.840027,1714200
2017-10-20,1007.049988,1008.650024,1002.270020,1005.070007,1005.070007,1606000
2017-10-23,1005.179993,1005.789978,983.099976,985.539978,985.539978,1639300
2017-10-24,986.500000,989.260010,977.080017,988.489990,988.489990,1445100
2017-10-25,986.270020,994.429993,977.719971,991.460022,991.460022,1528700
2017-10-26,998.469971,1006.510010,990.469971,991.419983,991.419983,2369800
2017-10-27,1030.989990,1063.619995,1026.849976,1033.670044,1033.670044,5184100
2017-10-30,1029.160034,1039.829956,1022.330017,1033.130005,1033.130005,2340200
2017-10-31,1033.000000,1041.000000,1026.300049,1033.040039,1033.040039,1516300
2017-11-01,1036.319946,1047.859985,1034.000000,1042.599976,1042.599976,2163100
2017-11-02,1039.989990,1045.520020,1028.660034,1042.969971,1042.969971,1334700
2017-11-03,1042.750000,1050.660034,1037.650024,1049.989990,1049.989990,1388500
2017-11-06,1049.099976,1052.589966,1042.000000,1042.680054,1042.680054,914700
2017-11-07,1049.650024,1053.410034,1043.000000,1052.390015,1052.390015,1305200
2017-11-08,1050.050049,1062.689941,1047.050049,1058.290039,1058.290039,1213800
2017-11-09,1048.000000,1050.880005,1035.849976,1047.719971,1047.719971,1794600
2017-11-10,1043.869995,1046.630005,1041.219971,1044.150024,1044.150024,972100
2017-11-13,1040.800049,1048.739990,1039.260010,1041.199951,1041.199951,940700
2017-11-14,1037.719971,1042.300049,1029.329956,1041.640015,1041.640015,1050600
2017-11-15,1035.000000,1039.630005,1030.760010,1036.410034,1036.410034,905300
2017-11-16,1038.750000,1051.760010,1038.000000,1048.469971,1048.469971,1188400
2017-11-17,1049.800049,1051.000000,1033.729980,1035.890015,1035.890015,1335600
2017-11-20,1036.000000,1038.699951,1032.680054,1034.660034,1034.660034,876300
2017-11-21,1040.040039,1050.390015,1039.140015,1050.300049,1050.300049,1110300
2017-11-22,1051.160034,1055.430054,1047.250000,1051.920044,1051.920044,726900
2017-11-24,1054.390015,1060.069946,1051.920044,1056.520020,1056.520020,824600
2017-11-27,1058.569946,1073.040039,1054.770020,1072.010010,1072.010010,1771500
2017-11-28,1073.989990,1080.000000,1054.540039,1063.290039,1063.290039,1821200
2017-11-29,1056.180054,1058.770020,1029.650024,1037.380005,1037.380005,2793300
2017-11-30,1039.939941,1044.140015,1030.069946,1036.170044,1036.170044,2254600
2017-12-01,1030.410034,1037.239990,1016.900024,1025.069946,1025.069946,1888100
2017-12-04,1027.800049,1031.339966,1009.219971,1011.869995,1011.869995,1938900
2017-12-05,1010.989990,1036.680054,1002.320007,1019.599976,1019.599976,1949900
2017-12-06,1016.520020,1039.579956,1015.309998,1032.719971,1032.719971,1435500
2017-12-07,1036.069946,1048.920044,1035.359985,1044.569946,1044.569946,1543300
2017-12-08,1051.810059,1056.420044,1045.859985,1049.380005,1049.380005,1558500
2017-12-11,1051.109985,1056.000000,1044.119995,1051.969971,1051.969971,1162700
2017-12-12,1050.000000,1062.500000,1044.869995,1048.770020,1048.770020,1694100
2017-12-13,1052.079956,1055.479980,1046.579956,1051.390015,1051.390015,1384000
2017-12-14,1055.489990,1067.079956,1053.599976,1057.469971,1057.469971,1548100
2017-12-15,1063.780029,1075.250000,1060.089966,1072.000000,1072.000000,3188000
2017-12-18,1076.449951,1086.489990,1070.369995,1085.089966,1085.089966,1514600
2017-12-19,1083.020020,1084.969971,1072.270020,1079.780029,1079.780029,1317500
2017-12-20,1080.920044,1081.229980,1068.599976,1073.560059,1073.560059,1436400
2017-12-21,1075.390015,1077.520020,1069.000000,1070.849976,1070.849976,1282000
2017-12-22,1070.000000,1071.719971,1067.640015,1068.859985,1068.859985,889400
2017-12-26,1068.640015,1068.859985,1058.640015,1065.849976,1065.849976,918800
2017-12-27,1066.599976,1068.270020,1058.380005,1060.199951,1060.199951,1116200
2017-12-28,1062.250000,1064.839966,1053.380005,1055.949951,1055.949951,994200
2017-12-29,1055.489990,1058.050049,1052.699951,1053.400024,1053.400024,1180300
2018-01-02,1053.020020,1075.979980,1053.020020,1073.209961,1073.209961,1588300
2018-01-03,1073.930054,1096.099976,1073.430054,1091.520020,1091.520020,1565900
2018-01-04,1097.089966,1104.079956,1094.260010,1095.760010,1095.760010,1302600
2018-01-05,1103.449951,1113.579956,1101.800049,1110.290039,1110.290039,1512500
2018-01-08,1111.000000,1119.160034,1110.000000,1114.209961,1114.209961,1232200
2018-01-09,1118.439941,1118.439941,1108.199951,1112.790039,1112.790039,1340400
2018-01-10,1107.000000,1112.780029,1103.979980,1110.140015,1110.140015,1036700
2018-01-11,1112.310059,1114.849976,1106.479980,1112.050049,1112.050049,1121200
2018-01-12,1110.099976,1131.300049,1108.010010,1130.650024,1130.650024,1929300
2018-01-16,1140.310059,1148.880005,1126.660034,1130.699951,1130.699951,1823100
2018-01-17,1136.359985,1139.319946,1123.489990,1139.099976,1139.099976,1391500
2018-01-18,1139.349976,1140.589966,1124.459961,1135.969971,1135.969971,1374900
2018-01-19,1138.030029,1143.780029,1132.500000,1143.500000,1143.500000,1444700
